# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 12 03:39:53 2017
#
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
#
rowid	pl_bmassj	pl_bmassjerr1	pl_bmassjerr2	pl_bmassjlim
160	0.21100	0.01200	-0.01200	0
161	0.85100	0.03800	-0.03800	0
162	14.28000	0.28000	-0.28000	0
163	2.23200	0.05900	-0.05900	0
164	1.94600	0.06600	-0.06600	0
165	4.19300	0.09400	-0.09400	0
166	0.53400	0.01800	-0.01800	0
167	3.40000	1.10000	-0.70000	0
168	0.19700	0.01300	-0.01300	0
169	0.29200	0.01800	-0.01800	0
170	9.09000	0.24000	-0.24000	0
171	7.24600	0.18700	-0.18700	0
172	4.06300	0.16100	-0.16100	0
173	2.14700	0.06100	-0.06100	0
174	2.07000	0.12000	-0.12000	0
175	0.68500	0.03300	-0.03300	0
176	0.56700	0.02200	-0.02200	0
177	0.05900	0.00700	-0.00700	0
178	0.62000	0.03000	-0.03000	0
179	0.62600	0.03700	-0.03700	0
180	0.77800	0.07600	-0.04000	0
181	0.59100	0.01800	-0.01800	0
182	0.71100	0.02800	-0.02800	0
183	2.17100	0.10500	-0.07700	0
184				
185	0.76200	0.10100	-0.10100	0
186	3.32800	0.21100	-0.21100	0
187	1.05400	0.03300	-0.03300	0
188	1.83200	0.09900	-0.09900	0
189	1.16900	0.10300	-0.10300	0
190	0.26700	0.02000	-0.02000	0
191	0.59900	0.09900	-0.09900	0
192	0.67100	0.03300	-0.04400	0
193	0.61500	0.03800	-0.03800	0
194	0.80000	0.10200	-0.10200	0
195	1.04400	0.08300	-0.08300	0
196	0.66200	0.06000	-0.06000	0
197	0.35200	0.02900	-0.02900	0
198	4.00000	1.40000	-0.80000	0
199	0.89200	0.13700	-0.09900	0
200	0.49300	0.08200	-0.05200	0
201	1.73000	0.20500	-0.20500	0
202	1.06000	0.11000	-0.11000	0
203	1.35000	0.07300	-0.07300	0
204	0.30900	0.01800	-0.01800	0
205	0.81800	0.02900	-0.02900	0
206	1.48400	0.05600	-0.05600	0
207	0.76000	0.03200	-0.03200	0
208	0.58200	0.05600	-0.05600	0
209	2.18000	0.25000	-0.25000	0
210	1.85000			1
211	1.05700	0.11900	-0.11900	0
212	0.52700	0.08300	-0.08300	0
213	0.78300	0.05700	-0.05700	0
214	0.34000	0.25000	-0.19000	0
215	1.68200	0.02100	-0.02000	0
216	1.52000	0.18000	-0.16000	0
217	0.78000	0.09000	-0.09000	0
218	1.85500	0.26200	-0.19600	0
219	0.52600	0.08100	-0.08100	0
220	0.85000	0.12000	-0.12000	0
221	2.38000	0.11000	-0.11000	0
222	0.54300	0.07200	-0.07200	0
223	1.07100	0.07000	-0.07000	0
224	2.17000	0.15000	-0.15000	0
225	3.27000	0.19000	-0.19000	0
226	1.33800	0.06500	-0.06500	0
227	1.98000	0.07700	-0.07700	0
228	1.34500	0.15000	-0.15000	0
229	2.74000	0.11000	-0.11000	0
230	1.47000	0.07200	-0.07200	0
231	2.44000	0.18000	-0.18000	0
232	0.61300	0.04200	-0.04200	0
233	0.65000	0.07600	-0.07600	0
234	0.53000	0.13000	-0.13000	0
235	0.67200	0.08700	-0.08700	0
236	0.65300	0.06300	-0.06300	0
237	1.07100	0.13600	-0.13600	0
238	0.70600	0.03900	-0.03900	0
239	0.88000	0.12000	-0.12000	0
240	0.92000	0.10000	-0.10000	0
241	1.19200	0.05300	-0.05300	0
242	0.94100	0.07200	-0.07200	0
243	1.22200	0.07800	-0.07800	0
244	1.32300	0.02800	-0.02800	0
245	0.23700	0.01200	-0.01200	0
246	0.31900	0.07000	-0.07000	0
247	0.13800	0.01900	-0.01900	0
248	0.83700	0.02900	-0.02900	0
249				
250	1.70000	0.10000	-0.20000	0
251	1.16000	0.03000	-0.03000	0
252	0.04160	0.00140	-0.00140	0
253	0.03780	0.00220	-0.00220	0
254	0.08050	0.00320	-0.00320	0
255	0.07220	0.00470	-0.00470	0
256	0.07320	0.01380	-0.01380	0
257	0.20660	0.01390	-0.01390	0
258	0.30000			0
259	0.17200	0.02000	-0.02000	0
260	0.45000			0
261	5.90000	0.20000	-0.20000	0
262	5.90000	0.30000	-0.30000	0
263	0.05000	0.00800	-0.00800	0
264	0.96000	0.05000	-0.05000	0
265	0.09800	0.00600	-0.00600	0
266	0.62000	0.02500	-0.02500	0
267	0.36700	0.02200	-0.02200	0
268	0.18600	0.01300	-0.01300	0
269	2.10000	0.15000	-0.15000	0
270	8.30000			0
271	6.92000	0.16000	-0.16000	0
272	11.00000	0.80000	-0.80000	0
273				0
274				0
275	0.94000	0.08000	-0.08000	0
276	9.61000	0.14000	-0.14000	0
277	11.00000	2.00000	-2.00000	0
278	6.21000	0.15000	-0.15000	0
279	0.21000	0.03600	-0.03600	0
280	0.26100	0.04000	-0.04000	0
281	3.50000	3.40000	-1.20000	0
282	2.60000	0.20000	-0.20000	0
283	1.29000	0.06000	-0.06000	0
284	0.99000	0.06000	-0.06000	0
285	0.77000	0.09000	-0.09000	0
286	0.05400	0.00400	-0.00400	0
287	0.07600	0.00700	-0.00700	0
288	0.28000	0.01600	-0.01600	0
289	11.09000	1.00000	-1.00000	0
290	6.80000			0
291	4.51000	0.50000	-0.50000	0
292	2.83000	0.24000	-0.24000	0
293	0.36000	0.04000	-0.04000	0
294	0.93000	0.06000	-0.06000	0
295	1.24000			0
296	0.48000	0.04000	-0.04000	0
297	0.95000	0.10000	-0.10000	0
298	10.98000	0.09000	-0.09000	0
299	1.10000	0.06000	-0.06000	0
300	4.21000	0.07000	-0.07000	0
301	0.36000	0.02000	-0.02000	0
302	2.10000	0.20000	-0.20000	0
303	1.88000	0.17000	-0.17000	0
304	6.50000	1.00000	-1.00000	0
305	0.17800	0.02100	-0.02100	0
306	2.13000			0
307	0.62200	0.05600	-0.05600	0
308	0.07880	0.00970	-0.00970	0
309	6.54000			0
310	4.50000			0
311	1.22000			0
312	2.98000	0.14000	-0.14000	0
313	0.04100	0.00400	-0.00400	0
314	3.00000			0
315	0.05800			0
316	7.20000			0
317	2.90000	0.40000	-0.40000	0
318	2.17600	0.03700	-0.03700	0
319	1.81200	0.04800	-0.04800	0
320	0.38000	0.04000	-0.04000	0
321	1.76900	0.02300	-0.02300	0
322	3.78900	0.92400	-0.43200	0
323	0.89000	0.07000	-0.07000	0
324	1.60000	0.60000	-0.60000	0
325	1.15000			0
326	2.20000	0.20000	-0.20000	0
327	18.15000	0.35000	-0.35000	0
328	14.00000	6.00000	-6.00000	0
329	5.61000			0
330	1.49000	0.09000	-0.09000	0
331	1.42000	0.04000	-0.04000	0
332	0.42000	0.15000	-0.15000	0
333	2.50000	0.05000	-0.05000	0
334	1.59000	0.02000	-0.02000	0
335	0.82000	0.03000	-0.03000	0
336	2.00000	0.10000	-0.10000	0
337	0.22300	0.02900	-0.02900	0
338	0.86500	0.03500	-0.03500	0
339	5.13000	0.25000	-0.25000	0
340	1.88000	0.15000	-0.15000	0
341	9.76000	2.15000	-2.15000	0
342	7.80000	0.70000	-0.70000	0
343	0.45100	0.03000	-0.03000	0
344	1.33000	0.08000	-0.08000	0
345	1.18000	0.08000	-0.08000	0
346	0.66000	0.10000	-0.10000	0
347	9.31600	0.32900	-0.32900	0
348	1.25000	0.15000	-0.15000	0
349	5.30000	0.70000	-0.70000	0
350	5.10000	2.60000	-1.50000	0
351	1.90000	0.20000	-0.20000	0
352	1.62000			0
353	1.21000	0.06000	-0.06000	0
354	3.48000	0.24000	-0.24000	0
355	5.76000	0.10000	-0.10000	0
356	2.90000			0
357	2.28000	0.26000	-0.26000	0
358	0.02026	0.00192	-0.00192	0
359	0.01759	0.00230	-0.00230	0
360	2.12000	0.07000	-0.07000	0
361	6.56000	0.32000	-0.32000	0
362	1.21000			0
363	5.14000	0.34000	-0.34000	0
364	2.30000	0.18000	-0.18000	0
365	0.85000	0.67000	-0.05000	0
366	0.96000	0.10000	-0.10000	0
367	0.36800	0.01300	-0.01400	0
368	1.36000			0
369	3.10000	0.20000	-0.20000	0
370	2.71000	1.14000	-0.66000	0
371	2.18000	0.17000	-0.17000	0
372	1.50000	0.10000	-0.10000	0
373	2.73000	0.05000	-0.05000	0
374	0.94700	0.09000	-0.09000	0
375	4.73000	0.32000	-0.32000	0
376	2.24000	0.05000	-0.05000	0
377	2.58000	0.16000	-0.16000	0
378	2.60000	0.30000	-0.30000	0
379	0.85000	0.05000	-0.05000	0
380	0.82000	0.07000	-0.07000	0
381	9.71000	0.66000	-0.66000	0
382	0.74000	0.05000	-0.04000	0
383	0.01300	0.00200	-0.00200	0
384	10.57000	0.29000	-0.29000	0
385	1.80000	0.20000	-0.20000	0
386	1.13000	0.05000	-0.05000	0
387	1.90000	0.13000	-0.13000	0
388	2.10000	0.11000	-0.11000	0
389	0.73000	0.05000	-0.05000	0
390	0.96000	0.06000	-0.04000	0
391	3.48000	0.13000	-0.11000	0
392	1.08000			0
393	1.81400			0
394	0.03321			0
395	0.52190			0
396	0.26000	0.02800	-0.02800	0
397	4.77000	0.37000	-0.37000	0
398	14.40000			0
399	0.77000	0.04000	-0.04000	0
400	2.29000	0.16000	-0.16000	0
401	0.06960	0.00630	-0.00630	0
402	0.48000	0.09000	-0.09000	0
403	0.05078	0.00856	-0.00856	0
404	2.70000	1.30000	-1.30000	0
405	0.33855	0.01542	-0.01510	0
406	0.04059	0.00503	-0.00503	0
407	2.89000	0.23000	-0.23000	0
408	6.43000	0.31000	-0.22000	0
409	3.53000	0.11000	-0.11000	0
410	1.70000	0.09000	-0.12000	0
411	7.65900	0.09750	-0.09750	0
412	17.19300	0.21000	-0.21000	0
413	0.24800	0.02300	-0.02300	0
414	6.10000	0.90000	-0.90000	0
415	2.88000			0
416	4.04000			0
417	0.67000			0
418	4.60000	0.30000	-0.30000	0
419	1.98000			0
420	2.60000	0.15000	-0.15000	0
421	3.22000	0.08000	-0.08000	0
422	2.70000	0.30000	-0.30000	0
423	7.80000	3.50000	-3.50000	0
424	0.61000			0
425	0.02825	0.00346	-0.00346	0
426	0.87000	0.07000	-0.06000	0
427	0.04751	0.02014	-0.01904	0
428	1.49000	0.03000	-0.03000	0
429	0.15000	0.02000	-0.02000	0
430	7.03000	0.28000	-0.28000	0
431	0.08660	0.00800	-0.00800	0
432	0.91600	0.07600	-0.07600	0
433	22.00000			0
434	1.60000	0.20000	-0.20000	0
435	2.90000	0.20000	-0.20000	0
436	0.02400			0
437	0.64000			0
438	0.54000			0
439	0.37000			0
440	3.67000	0.30000	-0.30000	0
441	3.57000	0.55000	-0.55000	0
442	0.94000			0
443	0.75000			0
444	0.52300	0.04300	-0.04300	0
445	1.99000	0.25000	-0.25000	0
446	2.70000	0.30000	-0.30000	0
447	1.50000	0.13000	-0.13000	0
448				
449	1.56000	0.13000	-0.13000	0
450	0.06000	0.00760	-0.00760	0
451	1.90000	0.06000	-0.06000	0
452	3.10000			0
453	8.52000	0.63000	-0.63000	0
454	0.73300	0.01500	-0.01500	0
455	0.05320	0.00280	-0.00280	0
456	0.07600	0.01600	-0.01600	0
457	2.40000	0.15000	-0.21000	0
458	3.69000	0.30000	-0.30000	0
459	2.90000	0.26000	-0.26000	0
460	6.90000	3.90000	-1.10000	0
461	2.58000	0.16000	-0.16000	0
462	0.79000	0.05000	-0.05000	0
463	1.37000	0.12000	-0.12000	0
464	1.85000	0.14000	-0.08000	0
465	0.89500	0.12300	-0.06300	0
466	17.40000			0
467	2.44000			0
468	24.09000	8.37900	-11.52100	0
469	6.11000	0.82000	-0.82000	0
470	4.28000	0.30000	-0.30000	0
471	0.05530	0.00530	-0.00530	0
472	0.26600	0.03200	-0.03200	0
473	1.37000	0.07000	-0.09000	0
474	2.20000	0.10000	-0.10000	0
475	1.43000	0.03000	-0.03000	0
476	0.56000	0.06000	-0.03000	0
477	0.73000	0.18000	-0.05000	0
